,TweetId
877,1040195641614454784
878,1040195610920579072
879,1040195607107919872
880,1040195596341133312
881,1040195562262261760
882,1040195457127985152
883,1040195328857784320
884,1040195254786220032
885,1040194929853640705
886,1040194897721139200
887,1040194709941964801
888,1040194657387458561
889,1040194346190950400
890,1040194340260339712
891,1040194194881433601
892,1040194193258438656
893,1040194152900833285
894,1040194117874208768
895,1040194063042011136
896,1040193815167033346
897,1040193698854850562
898,1040193616453480448
899,1040193406750744576
900,1040193320054484992
901,1040193178102583296
902,1040193153112985600
903,1040193052357349376
904,1040193007306194946
905,1040192990210285569
906,1040192828092153856
907,1040192797146603520
908,1040192713377947648
909,1040192656977088512
910,1040192629600870400
911,1040192620222468096
912,1040192590635786241
913,1040192488974118918
914,1040192246270910464
915,1040192171620683776
916,1040192129262215168
917,1040191906498707456
918,1040191373402693633
919,1040191296621559809
920,1040190934913376256
921,1040190745964146689
922,1040190710513840129
923,1040190542972219392
924,1040190459602235394
925,1040190397429862401
926,1040190219801243649
927,1040189543364874240
928,1040189019785707520
929,1040188922612129793
930,1040188695180140546
931,1040188351129759744
932,1040188340572631040
933,1040188318091276289
934,1040188282896887808
935,1040188278320885760
936,1040188223442567172
937,1040188146242215936
938,1040188095310778368
939,1040188015937826816
940,1040187960807776256
941,1040187935017103360
942,1040187927374966784
943,1040187915190579200
944,1040187909746425856
945,1040187877286662144
946,1040187874979790848
947,1040187872140320769
948,1040187853047644161
949,1040187835163193344
950,1040187790477193216
951,1040187709866881024
952,1040187698558971905
953,1040187263043264513
954,1040186964018978818
955,1040186884809519105
956,1040186741339168769
957,1040186656601587712
958,1040186525374472192
959,1040186513332432896
960,1040186253981954048
961,1040185996275531776
962,1040185727621976065
963,1040185691106361344
964,1040185616246480897
965,1040185525871759360
966,1040185240273252353
967,1040184853726154752
